oracle_calls,scaffold,smiles,reward,penalized_reward,hydroxypyridine_raw_values,hydroxypyridine_reward,activation_energy_raw_values,activation_energy_reward
123,c1cnc2ncccc2c1,c1c(O)nc2ncc([N+](=O)[O-])cc2c1C(F)(F)F,0.4226083,0.4226083,1.0,1.0,32.71065071150999,0.4226083
123,c1cc2cnc3ccsc3c2s1,c12cc(F)sc1c1c(nc2O)ccs1,0.46545792,0.46545792,1.0,1.0,31.202030084520672,0.46545792
128,c1ccncc1,Cc1cc(C(F)(F)F)c(O)nc1[N+]([O-])=O,0.45096406,0.45096406,1.0,1.0,31.709176966364208,0.45096406
128,c1ccncc1,FC(c1c([N+](=O)[O-])c([N+]([O-])=O)cnc1O)(F)F,0.8981174,0.8981174,1.0,1.0,11.09533386603451,0.8981174
128,c1ccncc1,O=[N+](c1c([N+]([O-])=O)c(O)nc([N+](=O)[O-])c1)[O-],0.8436712,0.8436712,1.0,1.0,15.3573154629123,0.8436712
128,c1ccncc1,c1cnc(O)c(C(F)(F)F)c1[N+]([O-])=O,0.6815954,0.6815954,1.0,1.0,23.389053950148373,0.6815954
128,c1ccncc1,Brc1cnc(O)c(Cl)c1C(N(C)C)=O,0.576362,0.576362,1.0,1.0,27.325991914561463,0.576362
129,O=c1ccoc2ncccc12,o1c(C(F)(F)F)cc(=O)c2cc(F)c(O)nc12,0.5695219,0.5695219,1.0,1.0,27.56881298064502,0.5695219
134,O=C(NCc1cccs1)c1ccncc1,c1c(C(N(C)C(c2sccc2)C)=O)c([N+](=O)[O-])cnc1O,0.4217842,0.4217842,1.0,1.0,32.73999305449268,0.4217842
134,c1ccncc1,FC(F)(c1c(O)ncc(C(F)(F)F)c1[N+]([O-])=O)F,0.8044096,0.8044096,1.0,1.0,17.717403695251843,0.8044096
134,O=S(=O)(c1cccnc1)N1CCNCC1,S(=O)(=O)(N1CCN(C)CC1)c1c(O)ncc([N+](=O)[O-])c1,0.011698225,0.011698225,1.0,1.0,68.53539248918534,0.011698225
134,c1cnc2sccc2c1,[O-][N+](c1c(O)nc2sc(F)cc2c1)=O,0.5651053,0.5651053,1.0,1.0,27.725094215156446,0.5651053
134,c1ccncc1,CN(C)C(c1c(O)ncc([N+](=O)[O-])c1[N+](=O)[O-])=O,0.7377385,0.7377385,1.0,1.0,21.01664143174402,0.7377385
135,c1ccncc1,n1c(O)c(C(=O)N(C)C)ccc1,0.3440261,0.3440261,1.0,1.0,35.6059041236874,0.3440261
136,c1ccc(-c2cccnc2)nc1,C(=O)(c1c(O)ncc(-c2cc(C(F)(F)F)cc([O-])n2)c1)N(C)C,0.48810035,0.48810035,1.0,1.0,30.41351422960932,0.48810035
137,c1ccncc1,c1(C(=O)N(C)C)c(Cl)c(O)ncc1[N+](=O)[O-],0.5517563,0.5517563,1.0,1.0,28.19533726483112,0.5517563
138,c1ccncc1,C(N(C)C(c1cc(O)ncc1[N+](=O)[O-])=O)(C)C,0.5301757,0.5301757,1.0,1.0,28.95031273836536,0.5301757
140,c1ccncc1,c1c(C(F)(F)F)cnc(O)c1C(F)(F)F,0.7351963,0.7351963,1.0,1.0,21.130415174478802,0.7351963
140,c1ccncc1,n1c(O)c([N+]([O-])=O)c([N+]([O-])=O)cc1C(F)(F)F,0.5996377,0.5996377,1.0,1.0,26.491285087254674,0.5996377
141,c1ccncc1,c1(O)ncc(C(F)(F)F)c([N+](=O)[O-])c1,0.53094816,0.53094816,1.0,1.0,28.92337375663979,0.53094816
143,c1cncc(N2CCCC2)c1,C1N(c2c([N+](=O)[O-])c([N+]([O-])=O)cnc2O)CCC1,0.36343658,0.36343658,1.0,1.0,34.86826046184295,0.36343658
143,c1ccncc1,n1c(O)c(C(F)(F)F)c([N+]([O-])=O)cc1C(F)(F)F,0.6410959,0.6410959,1.0,1.0,24.961109509853607,0.6410959
145,c1cnc2ccsc2c1,Fc1cc2c(nc1O)cc(F)s2,0.40334994,0.40334994,1.0,1.0,33.40075425559853,0.40334994
145,c1cnc2sccc2c1,c1(F)c2c(sc1F)nc(O)c([N+](=O)[O-])c2C(F)(F)F,0.7500841,0.7500841,1.0,1.0,20.453677582179033,0.7500841
146,c1ccncc1,n1cc(C)c(C(N(C)C)=O)cc1O,0.5832553,0.5832553,1.0,1.0,27.080227829046272,0.5832553
147,c1ccncc1,CN(C(Nc1c(C(F)(F)F)c(F)cnc1O)=O)C,0.15311931,0.15311931,1.0,1.0,44.85584557820261,0.15311931
149,c1ccncc1,c1(C(F)(F)F)c(O)ncc(C(C)N(C)C)c1,0.6042773,0.6042773,1.0,1.0,26.32309372292992,0.6042773
149,c1cnc2n[nH]cc2c1,n1n(C(C)C)cc2c(C(F)(F)F)c([N+](=O)[O-])c(O)nc12,0.40504852,0.40504852,1.0,1.0,33.33949050565524,0.40504852
152,c1ccncc1,[O-]C(c1c(O)ncc([N+](=O)[O-])c1[N+](=O)[O-])=O,0.09093675,0.09093675,1.0,1.0,49.997093450148824,0.09093675
152,c1cnc2ccsc2c1,c1(F)sc2c(C(F)(F)F)c([N+](=O)[O-])c(O)nc2c1C(F)(F)F,0.36032423,0.36032423,1.0,1.0,34.985328629317166,0.36032423
152,c1ccncc1,c1([N+](=O)[O-])c([N+]([O-])=O)c(N(C)C)c(O)nc1,0.40516916,0.40516916,1.0,1.0,33.335141864992416,0.40516916
153,c1ccncc1,c1(Cl)c(C(F)(F)F)c(O)ncc1C(=O)N(C)C,0.62290215,0.62290215,1.0,1.0,25.64068344497005,0.62290215
154,c1cnc2scnc2c1,s1cnc2c(C(F)(F)F)c([N+](=O)[O-])c(O)nc12,0.6870119,0.6870119,1.0,1.0,23.171270512073793,0.6870119
155,c1ccncc1,S(c1c([N+]([O-])=O)c([N+]([O-])=O)c(O)nc1)(=O)(=O)N(C)C,0.86514026,0.86514026,1.0,1.0,13.855917469991876,0.86514026
156,c1ccncc1,C(c1c([N+](=O)[O-])c([N+]([O-])=O)c(O)nc1)(N(C)C)=O,0.86943233,0.86943233,1.0,1.0,13.531997079467219,0.86943233
157,c1ccncc1,FC(F)(F)c1c([N+](=O)[O-])cnc(O)c1C(F)(F)F,0.8989,0.8989,1.0,1.0,11.02079829070015,0.8989
158,c1ccncc1,c1nc(O)c([N+]([O-])=O)c(C(F)(F)F)c1C(F)(F)F,0.84862375,0.84862375,1.0,1.0,15.026850148597893,0.84862375
