2025-08-21 17:03:19,309 - INFO - Starting RL generative experiment with oracle budget: 10000
2025-08-22 12:12:01,877 - INFO - Oracle calls: 677/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 12:12:02,455 - INFO - Oracle calls: 677/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 12:12:03,027 - INFO - Oracle calls: 677/10000 (Batch Validity: 100.0%, 28 / 28)
2025-08-22 12:12:03,599 - INFO - Oracle calls: 677/10000 (Batch Validity: 96.67%, 29 / 30)
2025-08-22 12:12:04,169 - INFO - Oracle calls: 677/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 12:12:04,748 - INFO - Oracle calls: 677/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 12:12:05,325 - INFO - Oracle calls: 677/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 12:12:05,908 - INFO - Oracle calls: 677/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 12:12:06,485 - INFO - Oracle calls: 677/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 12:12:07,070 - INFO - Oracle calls: 677/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 12:12:07,645 - INFO - Oracle calls: 677/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 12:12:08,231 - INFO - Oracle calls: 677/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 12:12:08,861 - INFO - Oracle calls: 677/10000 (Batch Validity: 100.0%, 27 / 27)
2025-08-22 12:17:52,306 - INFO - Oracle calls: 678/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 12:17:52,876 - INFO - Oracle calls: 678/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 12:19:37,388 - INFO - Oracle calls: 679/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 12:19:37,962 - INFO - Oracle calls: 679/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 12:19:38,535 - INFO - Oracle calls: 679/10000 (Batch Validity: 100.0%, 28 / 28)
2025-08-22 12:19:39,109 - INFO - Oracle calls: 679/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 12:19:39,697 - INFO - Oracle calls: 679/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 12:19:40,280 - INFO - Oracle calls: 679/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 12:19:40,857 - INFO - Oracle calls: 679/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 12:21:51,477 - INFO - Oracle calls: 680/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 12:21:52,051 - INFO - Oracle calls: 680/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 12:21:52,622 - INFO - Oracle calls: 680/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 12:21:53,196 - INFO - Oracle calls: 680/10000 (Batch Validity: 100.0%, 29 / 29)
