oracle_calls,scaffold,smiles,reward,penalized_reward,hydroxypyridine_raw_values,hydroxypyridine_reward,activation_energy_raw_values,activation_energy_reward
72,O=c1cc(/C=C/Cc2ccc(-c3ccccc3)cc2)cc[nH]1,OCCCn1c(O)cc(/C=C/Cc2ccc(-c3ccc(C(NCCO)=O)cc3)cc2)cc1=O,0.0,0.0,1.0,1.0,1000.0,0.0
72,c1ccncc1,c1(O)c(O)nc(C(NC(NC)=NC)C)c(SC)c1,0.0012654287,0.0012654287,1.0,1.0,87.94424797175627,0.0012654287
88,N=C(NCCCNCc1ccccc1)NCc1ccccn1,Oc1ccc(CNC(=NC)NCCCN(C)Cc2ccccc2)nc1O,1.5839909e-08,1.5839909e-08,1.0,1.0,186.00494640547961,1.5839909e-08
88,O=S(=O)(NCCCc1ccccc1)c1cccnc1,c1c(SC)ccc([C@H](O)CCNS(c2c(O)nccc2O)(=O)=O)c1,0.46915033,0.46915033,1.0,1.0,31.073189839311013,0.46915033
88,c1cc(N2CCCCC2)ccn1,C1CN(c2c(C=O)c(O)nc(C)c2O)CCC1,0.08152795,0.08152795,1.0,1.0,51.03518864818123,0.08152795
88,c1ccncc1,Oc1c(O)nccc1O,0.42437723,0.42437723,1.0,1.0,32.64771778634352,0.42437723
88,O=C(COc1ccccc1)Nc1cccnc1,c1(O[C@@H](C)C(=O)Nc2c(O)nccc2)ccc(O)cc1,0.6490122,0.6490122,1.0,1.0,24.660783475561924,0.6490122
88,c1ccncc1,c1(N)cc([N+](=O)[O-])cc(O)n1,0.2292677,0.2292677,1.0,1.0,40.53121343542275,0.2292677
88,c1ccncc1,c1c(C(O)=O)c(O)c(C)c(O)n1,0.36790276,0.36790276,1.0,1.0,34.701016636808795,0.36790276
88,c1ccc(-c2cccnc2)cc1,c1(-c2cnc(O)c([N+]([O-])=O)c2)cc(C)ccc1,0.354368,0.354368,1.0,1.0,35.21061080559857,0.354368
88,c1ccncc1,c1(CNC(=O)NCCCCN)c(F)c(O)c(O)nc1,0.46861494,0.46861494,1.0,1.0,31.091864521252646,0.46861494
88,N=C(NCc1cccnc1)NCC(c1ccccc1)N1CCOCC1,N(C)=C(NCC(N1CCOCC1)c1ccc(OC)cc1O)NCc1cnc(O)cc1[N+]([O-])=O,0.41148585,0.41148585,1.0,1.0,33.10803991124617,0.41148585
88,O=C(CCCSc1cc(=O)cco1)Nc1cccnc1,c1(SCCCC(=O)Nc2c(O)ccnc2O)oc(O)cc(=O)c1O,0.8311831,0.8311831,1.0,1.0,16.15438427195387,0.8311831
88,c1ccncc1,[O-][N+](c1cc(O)ncc1)=O,0.35167578,0.35167578,1.0,1.0,35.312995251386454,0.35167578
88,c1ccncc1,O=[N+](c1cnc(O)c(O)c1O)[O-],0.5166133,0.5166133,1.0,1.0,29.422582643643985,0.5166133
88,c1cc2ccncc2cn1,c12c(cncc1O)c(O)ncc2,0.42003068,0.42003068,1.0,1.0,32.80248044793583,0.42003068
88,C(=NCCc1cccnc1)Nc1ccccc1,c1c(C(OCC)=O)cc(NC(=NCCc2c([N+](=O)[O-])cc(O)nc2)NCC)cc1,0.49698532,0.49698532,1.0,1.0,30.10474191780238,0.49698532
88,c1ccc(C(c2cccnc2)N2CCOCC2)cc1,O1CCN(C(c2cc([N+](=O)[O-])c(O)c(O)c2)c2cc(O)c(O)nc2)CC1,0.34057525,0.34057525,1.0,1.0,35.73904280879781,0.34057525
102,c1ccncc1,c1(O)cc(CNCCO)c(O)nc1,0.37191537,0.37191537,1.0,1.0,34.55148112913544,0.37191537
102,c1ccc(Oc2ccncc2)cc1,Fc1ccccc1Oc1ccnc(O)c1CN,0.47216588,0.47216588,1.0,1.0,30.96805690203117,0.47216588
102,c1ccncc1,c1(O)c(OC)cc([N+](=O)[O-])cn1,0.37061834,0.37061834,1.0,1.0,34.59974288278827,0.37061834
102,c1ccncc1,Oc1cc(O)c(O)nc1,0.39768663,0.39768663,1.0,1.0,33.6056298237848,0.39768663
102,c1ccncc1,n1c(O)c(C)cc(O)c1,0.54411846,0.54411846,1.0,1.0,28.46317085855153,0.54411846
102,O=C(NCc1ccccc1)NCc1cccnc1,CC(NC(=O)NCc1cccnc1O)c1c(O)cc(O)cc1,0.4725955,0.4725955,1.0,1.0,30.95308452597181,0.4725955
102,c1ccncc1,c1(O)c(C#N)c(C)nc(O)c1O,0.20108896,0.20108896,1.0,1.0,41.982203592298745,0.20108896
102,c1ccncc1,c1(C(O)=O)cc(O)ncc1[N+]([O-])=O,0.66775423,0.66775423,1.0,1.0,23.936857170805126,0.66775423
102,c1ccncc1,Oc1c(OC)cnc(O)c1,0.35442007,0.35442007,1.0,1.0,35.208634150756694,0.35442007
102,c1cncc(C2COc3ccccc32)c1,c1(O)ccnc(O)c1C1c2c(O)c(C#N)c(O)c(O)c2OC1,0.55672675,0.55672675,1.0,1.0,28.020588426490423,0.55672675
102,c1ccncc1,c1(O)ncc(Cl)c(O)c1[N+]([O-])=O,0.29570472,0.29570472,1.0,1.0,37.537930493193244,0.29570472
102,c1ccncc1,OC(c1cnc(O)c(O)c1C)=O,0.33336994,0.33336994,1.0,1.0,36.0191693131201,0.33336994
102,O=c1[nH]c(-c2cccnc2)cn2c(-c3ccccc3)ccc12,Oc1cc(-c2n3cc(-c4c(O)nccc4)n(C)c(=O)c3cc2)c(O)c(O)c1,0.44160897,0.44160897,1.0,1.0,32.03801075607157,0.44160897
102,N=C(NCc1cccnc1)NCc1cncs1,s1c(CNC(NCc2ccc(O)nc2)=NC)cnc1O,0.018332137,0.018332137,1.0,1.0,64.57502959608007,0.018332137
118,c1ccncc1,c1(C(=O)O)cccnc1O,0.4104605,0.4104605,1.0,1.0,33.144830791700365,0.4104605
118,N=C(NCc1ccccc1)NCc1ccncc1,n1c(O)c(C)c(CNC(=NC)NC(c2cccc(O)c2O)C)cc1,0.44721645,0.44721645,1.0,1.0,31.840746877802335,0.44721645
118,c1ccncc1,O(C)c1c(O)c([N+](=O)[O-])cnc1O,0.34194174,0.34194174,1.0,1.0,35.68624416165111,0.34194174
118,c1ccncc1,OCCCNC(NCc1c(O)nccc1O)=NC,0.39667958,0.39667958,1.0,1.0,33.64216342536009,0.39667958
118,c1ccncc1,n1cc(O)c([N+](=O)[O-])cc1O,0.31815407,0.31815407,1.0,1.0,36.62097599912427,0.31815407
118,c1ccncc1,c1cc(OC)c(O)nc1CN,0.1680544,0.1680544,1.0,1.0,43.89290091476868,0.1680544
118,N=C(NCc1ccncc1)NCc1cc[nH]n1,c1(O)c(C)n(C)nc1CNC(=NC)NCc1c(O)c(O)ncc1,0.67098504,0.67098504,1.0,1.0,23.810056331389937,0.67098504
118,c1ccncc1,O=[N+](c1c(O)nccc1O)[O-],0.5278047,0.5278047,1.0,1.0,29.03296828628822,0.5278047
118,O=C(CN1CCN(c2ccccn2)CC1)Nc1cccnc1,N1(c2c(C)c([N+]([O-])=O)ccn2)CCN(CC(=O)Nc2c(O)ccnc2O)CC1,0.4897034,0.4897034,1.0,1.0,30.357791388321225,0.4897034
118,O=c1ccncn1Cc1ccccn1,n1c(C)n(Cc2nc(O)c(O)c([N+](=O)[O-])c2O)c(=O)c(O)c1,2.0907213e-12,2.0907213e-12,1.0,1.0,263.59407696189726,2.0907213e-12
118,c1ccc(SCCNCc2cccnc2)cc1,c1cc(SCCNCc2cnc(O)cc2[N+](=O)[O-])ccc1O,0.57515794,0.57515794,1.0,1.0,27.368806885992466,0.57515794
118,c1ccncc1,c1cc(O)ncc1CO,0.515674,0.515674,1.0,1.0,29.45525078686024,0.515674
118,c1ccncc1,c1nc(O)c(O)c(C#N)c1O,0.44934505,0.44934505,1.0,1.0,31.76599167414726,0.44934505
118,N=C(NCc1cccnc1)Nc1ccccc1,c1(NC(NCc2cnc(O)c(O)c2)=NC)c(O)c(CC)c(O)c(O)c1O,0.62741894,0.62741894,1.0,1.0,25.473263917286456,0.62741894
118,c1ccncc1,c1(N)c(N)c(N)c(O)nc1,0.36049342,0.36049342,1.0,1.0,34.97895313305038,0.36049342
118,c1ccncc1,C(Cc1c(O)nccc1O)CC,0.47956872,0.47956872,1.0,1.0,30.71025090970665,0.47956872
131,N=C(NCc1ccccc1)NCc1cccnc1,O=[N+](c1c(CNC(=NC)NCc2ccc(O)c(O)c2C)c(O)ncc1)[O-],0.51181513,0.51181513,1.0,1.0,29.58942486260826,0.51181513
131,N=C(NCc1ccncc1)NCc1ccn[nH]1,n1n(C)c(CNC(=NC)NCc2ccnc(O)c2C)cc1,0.4151582,0.4151582,1.0,1.0,32.97649510018909,0.4151582
131,c1ccncc1,Oc1ccc(O)cn1,0.22059642,0.22059642,1.0,1.0,40.96327880869337,0.22059642
131,c1ccncc1,n1c(C)c(O)c(O)c(O)c1O,0.23069139,0.23069139,1.0,1.0,40.46138418114981,0.23069139
131,c1ccncc1,FC(F)(F)c1cc([N+]([O-])=O)c(O)nc1,0.51641774,0.51641774,1.0,1.0,29.42938484633493,0.51641774
131,c1ccncc1,c1c(N)nc(O)c(OC)c1,0.19738448,0.19738448,1.0,1.0,42.18389141235609,0.19738448
131,N=C(NC(=O)c1cccnc1)Nc1ccccc1,c1(C(=O)NC(Nc2ccccc2O)=NCCCOC)cc(C)c(O)nc1,0.4254084,0.4254084,1.0,1.0,32.6110649579583,0.4254084
131,c1ccc(CCCNCc2ccccn2)cc1,c1cccc(CCCNCc2nc(O)ccc2O)c1N,4.0528354e-09,4.0528354e-09,1.0,1.0,197.84482026247284,4.0528354e-09
131,c1cncc(CNc2ccc3ccccc3c2)c1,N(c1cc(O)c2cc(O)ccc2c1O)Cc1c(O)c(C#N)c(O)nc1C,0.1131482,0.1131482,1.0,1.0,47.884068247940704,0.1131482
